	Author	degree	in_degree	out_degree	betweenness	closeness	harmonic	eigenvector	node_degree	clustering	square_clustering	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass	louvain_communities	leiden_partitions
985	F. de Witt Huberts	0.0038790797217763506	0.0014713750668806848	0.002407704654895666	5.105473031959067e-05	0.20410701126230718	1607.515079365091	0.0003044474041019315	29.0	0.3379746835443038	0.040209343885626754	https://www.dbnl.org/auteurs/auteur.php?id=witt037	witt037	F.	de Witt Huberts	F. de Witt Huberts	1860-xx-xx			19xx-xx-xx			male		Twintigste Eeuw		secundair/nonfictie					2.0	0.0
986	Rolande	0.004146602461209203	0.0037453183520599247	0.00040128410914927763	0.0001725615356592296	0.2619470721481789	2099.11428571422	0.006937966551008493	31.0	0.23974082073434125	0.24203821656050956	https://www.dbnl.org/auteurs/auteur.php?id=rola013	rola013		Rolande	Rolande	19xx-xx-xx						male									5.0	2.0
987	Willem Bernard Johannes van Eyk	0.00013376136971642589	0.0	0.00013376136971642589	0.0	0.0	0.0	3.552025893195421e-97	1.0	0.0	0.0	https://www.dbnl.org/auteurs/auteur.php?id=eyk_002	eyk_002	Willem Bernard Johannes	van Eyk	Willem Bernard Johannes van Eyk	1826-01-31	Utrecht	Nederland	1899-09-12	Den Haag	Nederland	male	leraar/hoogleraar/docent/herv./geref. predikant	Negentiende Eeuw	nl			hoogleraar/leraar/docent/gereformeerd predikant	2.0/2.0/2.0/2.0	2.0	2.0	0.0
988	J.C. de Marez Oyens	0.001070090957731407	0.0009363295880149812	0.00013376136971642589	3.1929383960880164e-06	0.22884267055361618	1812.8380952380421	0.0009559040831812455	8.0	0.16071428571428573	0.0	https://www.dbnl.org/auteurs/auteur.php?id=mare012	mare012	Johannes Christiaan	de Marez Oyens	J.C. de Marez Oyens	1845-xx-xx			1911-xx-xx			male	advocaat/jurist	19e/20e Eeuw		nonfictie		jurist/advocaat	2.0/2.0	2.0	2.0	0.0
989	Ewaldus Daniël Pijzel	0.0030765115034777956	0.0006688068485821295	0.002407704654895666	0.00013766648738086984	0.20738897042572563	1630.9555555555578	0.00023403712236141485	23.0	0.1975806451612903	0.03459315251222766	https://www.dbnl.org/auteurs/auteur.php?id=pijz001	pijz001	Ewaldus Daniël	Pijzel	Ewaldus Daniël Pijzel	1846-09-09	Dordrecht	Nederland	1926-01-30	Amsterdam	Nederland	male	musicus/journalist/redacteur/onderwijzer (basisschool)/jongleur/minstreel	19e/20e Eeuw	nl			acrobaat/redacteur/musicus/speelman/onderwijzer op een lagere school/journalist	7.0/2.0/4.0/4.0/4.0/2.0	2.0	2.0	0.0
990	W. Koster Gzn.	0.004146602461209203	0.0009363295880149812	0.003210272873194221	7.384518003636305e-05	0.19991088169042326	1570.3626984127102	0.00011412160011417046	31.0	0.13260869565217392	0.016354372123602894	https://www.dbnl.org/auteurs/auteur.php?id=kost018	kost018	Willem	Koster Gzn.	W. Koster Gzn.	1834-10-24	Boskoop	Nederland	1907-07-07	Utrecht	Nederland	male	natuurwetenschapper/apotheker/medicus	Negentiende Eeuw		nonfictie		apotheker/natuurwetenschapper/medicus	2.0/2.0/2.0	2.0	2.0	0.0
991	Henrick Witte	0.0008025682182985553	0.00013376136971642589	0.0006688068485821295	2.5683352770265596e-07	0.18689409733155607	1452.256746031792	3.5408825888789876e-05	6.0	0.2857142857142857	0.02349869451697128	https://www.dbnl.org/auteurs/auteur.php?id=witt029	witt029	Henrick	Witte	Henrick Witte	1829-05-10	Rotterdam	Nederland				male		Negentiende Eeuw	nl						2.0	0.0
992	M.C. Piepers	0.0009363295880149812	0.0005350454788657035	0.00040128410914927763	3.134891576824748e-05	0.21045492018449038	1678.6138888888725	0.0004848694849916665	7.0	0.11904761904761904	0.014492753623188406	https://www.dbnl.org/auteurs/auteur.php?id=piep001	piep001	Marinus Cornelis	Piepers	M.C. Piepers	1835-xx-xx			1919-xx-xx			male		19e/20e Eeuw		nonfictie					2.0	0.0
993	J.A.F.L. van Heeckeren	0.0006688068485821295	0.00026752273943285177	0.00040128410914927763	9.60152297136623e-08	0.20759814610507918	1620.9603174603078	0.0001742178798130562	5.0	0.25	0.0	https://www.dbnl.org/auteurs/auteur.php?id=heec002	heec002	Jacob Adriaan Frederik Lodewijk	van Heeckeren	J.A.F.L. van Heeckeren/J.A.F.L. van Nettelhorst	1827-11-24	Zutphen	Nederland	1887-08-09	Meerssen	Nederland	male		Negentiende Eeuw		secundair					2.0	0.0
994	F.H. Boogaard	0.0006688068485821295	0.00040128410914927763	0.00026752273943285177	1.982969360409846e-06	0.2260363268312601	1764.5666666666143	0.0006818251521691631	5.0	0.25	0.0	https://www.dbnl.org/auteurs/auteur.php?id=boog011	boog011	Frederik Hendrik	Boogaard	F.H. Boogaard	1838-xx-xx			1918-10-29	Den Haag	Nederland	male	redacteur/officier/journalist/militair	19e/20e Eeuw	nl	secundair		militair/officier/journalist/redacteur	9.0/1.0/2.0/2.0	1.0	2.0	0.0
995	Marie Henriëtte Koorders-Boeke	0.016318887105403957	0.0056179775280898875	0.010700909577314071	0.0004085706755053305	0.22826107326696354	1835.2876984126506	0.0016241992330150552	122.0	0.1617386564927102	0.04904873979789583	https://www.dbnl.org/auteurs/auteur.php?id=koor004	koor004	Marie Henriëtte	Koorders-Boeke	Marie Henriëtte Koorders-Boeke/O.D.A.	1837-05-29	Amsterdam	Nederland	1887-11-07	Salatiga	Indonesië	female		Negentiende Eeuw	nl						2.0	0.0
996	Willem Hendrik de Beaufort	0.016051364365971106	0.005350454788657036	0.010700909577314071	0.0011611129496513035	0.23238452681800625	1859.823412698355	0.0016516176646376474	120.0	0.11007042253521127	0.03179604697794328	https://www.dbnl.org/auteurs/auteur.php?id=beau004	beau004	Willem Hendrik	de Beaufort	Willem Hendrik de Beaufort	1845-03-19	Leusden	Nederland	1918-04-02	Den Haag	Nederland	male	jurist/staatsman/bestuurder/politicus/advocaat	19e/20e Eeuw	nl			jurist/bestuurder/advocaat/ambtman	2.0/1.0/2.0/1.0	1.0	2.0	0.0
997	H.J.A.M. Schaepman	0.005350454788657036	0.005350454788657036	0.0	0.0	0.2619696051647834	2108.802380952312	0.005651786720624564	40.0	0.11474358974358974	0.0	https://www.dbnl.org/auteurs/auteur.php?id=scha024	scha024	Herman Johan Aloysius Maria	Schaepman	H.J.A.M. Schaepman	1844-03-02	Tubbergen	Nederland	1903-01-21	Rome	Italië	male	kloosterling/staatsman/bestuurder/politicus/rk-geestelijke	Negentiende Eeuw	nl	nonfictie		rooms-katholiek geestelijke/bestuurder/ambtman/kloosterling	2.0/1.0/1.0/4.0	1.0	2.0	0.0
998	Willem Degenhardt	0.0017388978063135364	0.0006688068485821295	0.001070090957731407	6.84246485855924e-05	0.20251713211587236	1587.560317460325	0.00017882012258991042	13.0	0.5540540540540541	0.053833605220228384	https://www.dbnl.org/auteurs/auteur.php?id=dege004	dege004	Willem	Degenhardt	Willem Degenhardt	1817-12-15	Amsterdam	Nederland	1902-01-08	Amsterdam	Nederland	male	onderwijzer (basisschool)	Negentiende Eeuw	nl			onderwijzer op een lagere school	4.0	4.0	2.0	0.0
999	Johan Hendrik Gallée	0.008159443552701979	0.002675227394328518	0.005484216158373461	0.0003115793923325175	0.24377210257453405	1936.3166666665823	0.0024293041521347048	61.0	0.2396580253723111	0.048033791866028706	https://www.dbnl.org/auteurs/auteur.php?id=gall008	gall008	Johan Hendrik	Gallée	Johan Hendrik Gallée	1847-09-09	Vorden	Nederland	1908-02-03	Utrecht	Nederland	male	leraar/docent/hoogleraar	Negentiende Eeuw	nl	taalkunde		docent/leraar/hoogleraar	2.0/2.0/2.0	2.0	2.0	0.0
1000	J. Verdam	0.03838951310861423	0.01752273943285179	0.020866773675762437	0.0068933372664351554	0.2822741649468776	2327.4976190476023	0.020814739674352205	287.0	0.04331082892588169	0.014075887392900856	https://www.dbnl.org/auteurs/auteur.php?id=verd003	verd003	Jacob	Verdam	J. Verdam	1845-01-22	Amsterdam	Nederland	1919-07-19			male		19e/20e Eeuw	nl	secundair/taalkunde					2.0	0.0
1001	Willem Arnold Pieter Pistorius	0.00026752273943285177	0.0	0.00026752273943285177	0.0	0.0	0.0	3.552025893195421e-97	2.0	0.0	0.0	https://www.dbnl.org/auteurs/auteur.php?id=pist001	pist001	Willem Arnold Pieter	Pistorius	Arnold Willem Pieter Verkerk Pistorius/Willem Arnold Pieter Pistorius/Yoritomo	1838-12-09	Velp	Nederland	1893-10-xx			male		19e/20e Eeuw	nl						2.0	0.0
1002	Samuel Muller Fzn.	0.003477795612627073	0.001203852327447833	0.00227394328517924	8.772929180769702e-06	0.22277432518130957	1768.2972222221827	0.0007782852900887086	26.0	0.35646687697160884	0.07793127878143818	https://www.dbnl.org/auteurs/auteur.php?id=mull025	mull025	Samuel	Muller Fzn.	Samuel Muller/Samuel Muller Fzn.	1848-01-22	Amsterdam	Nederland	1922-12-05	Utrecht	Nederland	male	archivaris/bibliothecaris	19e/20e Eeuw	nl	nonfictie		archivaris/bibliothecaris	4.0/4.0	4.0	2.0	0.0
1003	Carel van Nievelt	0.00976457998929909	0.0040128410914927765	0.005751738897806313	0.0004553617766485143	0.24500535098553508	1956.690476190389	0.002920444082619553	73.0	0.17498081350729086	0.050368233239693264	https://www.dbnl.org/auteurs/auteur.php?id=niev001	niev001	Carel	van Nievelt	Carel van Nievelt/Jan van den Oude/Ypsilon	1843-06-20	Delfshaven	Nederland	1913-08-02	Wiesbaden	Duitsland	male	ambtenaar/redacteur/journalist	19e/20e Eeuw	nl			ambtenaar/journalist/redacteur	5.0/2.0/2.0	2.0	2.0	0.0
1004	Johan Drabbe	0.0005350454788657035	0.0	0.0005350454788657035	0.0	0.0	0.0	3.552025893195421e-97	4.0	0.08333333333333333	0.00644122383252818	https://www.dbnl.org/auteurs/auteur.php?id=drab002	drab002	Johan	Drabbe	Guido/Johan Drabbe	1839-10-14	Bergen op Zoom	Nederland	1916-08-01	Domburg	Nederland	male	officier/militair	Negentiende Eeuw	nl			officier/militair	1.0/9.0	1.0	2.0	0.0
1005	J.G. Gleichman	0.003344034242910647	0.00227394328517924	0.001070090957731407	7.55556954346434e-05	0.2347812683731159	1855.0023809523154	0.0010957168293908167	25.0	0.3191126279863481	0.11348205625606207	https://www.dbnl.org/auteurs/auteur.php?id=glei001	glei001	Johan George	Gleichman	J.G. Gleichman	1834-07-19	Rotterdam	Nederland	1906-04-30	Den Haag	Nederland	male	jurist/staatsman/bestuurder/politicus/advocaat	Negentiende Eeuw	nl			jurist/bestuurder/advocaat/ambtman	2.0/1.0/2.0/1.0	1.0	2.0	0.0
1006	A.G. van Hamel	0.016987693953986086	0.012439807383627608	0.00454788657035848	0.0013821394083584025	0.2724203323537395	2237.2619047618778	0.016944578875700465	127.0	0.09701025769326996	0.021609399039582266	https://www.dbnl.org/auteurs/auteur.php?id=hame001	hame001	Anton Gerardus	van Hamel	A.G. van Hamel	1886-07-05	Hilversum	Nederland	1945-11-23	Utrecht	Nederland	male		Twintigste Eeuw	nl	jeugdliteratuur					2.0	0.0
1007	Willem Pleyte	0.0018726591760299624	0.0009363295880149812	0.0009363295880149812	2.5286788399015713e-06	0.2088974451968689	1643.4924603174572	0.00028659750366183634	14.0	0.7764705882352941	0.12106768350810296	https://www.dbnl.org/auteurs/auteur.php?id=pley002	pley002	Willem	Pleyte	Willem Pleyte	1836-06-26	Hillegom	Nederland	1903-03-11	Leiden	Nederland	male	letterkundige (NIET-neerl.)	Negentiende Eeuw	nl			letterkundige	2.0	2.0	2.0	0.0
1008	Cornelis Stoffel	0.0018726591760299624	0.0009363295880149812	0.0009363295880149812	4.385542141359862e-06	0.20599657575355956	1622.2007936507916	0.00027595128965566716	14.0	0.7764705882352941	0.12106768350810296	https://www.dbnl.org/auteurs/auteur.php?id=stof002	stof002	Cornelis	Stoffel	Cornelis Stoffel	1845-09-04	Deventer	Nederland	1908-10-22	Nijmegen	Nederland	male	letterkundige (NIET-neerl.)	Negentiende Eeuw	nl			letterkundige	2.0	2.0	2.0	0.0
1009	P.H. van der Kemp	0.002541466024612092	0.001337613697164259	0.001203852327447833	0.0002769971015856801	0.2143079343414472	1686.163888888876	0.0003720486407600102	19.0	0.13988095238095238	0.03206106870229008	https://www.dbnl.org/auteurs/auteur.php?id=kemp034	kemp034	Pieter Hendrik	van der Kemp	P.H. van der Kemp	1845-xx-xx			1921-xx-xx			male		19e/20e Eeuw	nl	secundair					2.0	0.0
1010	Adrianus Dirk de Vries	0.00040128410914927763	0.0	0.00040128410914927763	0.0	0.0	0.0	3.552025893195421e-97	3.0	0.16666666666666666	0.0	https://www.dbnl.org/auteurs/auteur.php?id=vrie008	vrie008	Adrianus Dirk	de Vries	Adrianus Dirk de Vries	1842-07-01	Amsterdam	Nederland				male		Negentiende Eeuw	nl						2.0	0.0
1011	D.C. Meijer	0.0018726591760299624	0.0017388978063135364	0.00013376136971642589	0.0	0.24546799277332332	1948.8738095237227	0.002638490002780152	14.0	0.16483516483516483	0.0	https://www.dbnl.org/auteurs/auteur.php?id=meij055	meij055	Dirk Christiaan	Meijer	D.C. Meijer	1839-08-17	Amsterdam	Nederland	1908-08-21			male	zakenman/indust./archeoloog/koopman/historicus	Negentiende Eeuw		secundair		koopman/industrieel/antropoloog/zakenman/oudheidkundige	4.0/1.0/2.0/4.0/2.0	1.0	2.0	0.0
1012	A.C. Joosten	0.001337613697164259	0.0006688068485821295	0.0006688068485821295	2.433066050164096e-06	0.21268396997202957	1674.0710317460057	0.00035035607287759433	10.0	0.37209302325581395	0.0584070796460177	https://www.dbnl.org/auteurs/auteur.php?id=joos015	joos015	A.C.	Joosten	A.C. Joosten	1837-xx-xx			1901-xx-xx			male	koopman/zakenman/indust.	Negentiende Eeuw		nonfictie		zakenman/koopman/industrieel	4.0/4.0/1.0	1.0	2.0	0.0
1013	Thomas Hardy	0.008694489031567682	0.008560727661851257	0.00013376136971642589	0.00027494360057407863	0.2786124019498228	2251.7952380951847	0.013381703150172898	65.0	0.082010582010582	0.0	https://www.dbnl.org/auteurs/auteur.php?id=hard075	hard075	Thomas	Hardy	Thomas Hardy	1840-xx-xx			1928-xx-xx			male		19e/20e Eeuw		buitenland					0.0	3.0
1014	Adrianus Daniel de Vries	0.0008025682182985553	0.0	0.0008025682182985553	0.0	0.0	0.0	3.552025893195421e-97	6.0	0.03333333333333333	0.0	https://www.dbnl.org/auteurs/auteur.php?id=vrie077	vrie077	Adrianus Daniel	de Vries	Adrianus Daniel de Vries	1851-03-05	Amsterdam	Nederland	1884-02-08			male	kunsthistoricus/kunsthandelaar	Negentiende Eeuw	nl	nonfictie		kunsthandelaar	4.0	4.0	2.0	0.0
1015	Jan Knol	0.005885500267522739	0.004815409309791332	0.001070090957731407	0.00011261319508456713	0.2381428861095482	1939.1880952380463	0.005180355753915806	44.0	0.24125132555673381	0.03493295695130558	https://www.dbnl.org/auteurs/auteur.php?id=knol004	knol004	Jan	Knol	Jan Knol	1937-05-12	Aalten	Nederland		Aalten	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw		taalkunde		docent/leraar/hoogleraar	2.0/2.0/2.0	2.0	5.0	2.0
1016	Cornelis Backer	0.00040128410914927763	0.00013376136971642589	0.00026752273943285177	1.9243343051493545e-07	0.00013376136971642589	1.0	1.8470534644616195e-95	3.0	0.0	0.0	https://www.dbnl.org/auteurs/auteur.php?id=back019	back019	Cornelis	Backer	Cornelis Backer	1798-11-20	Groningen	Nederland	1864-06-30	Zwolle	Nederland	male	advocaat/ambtenaar/jurist	Negentiende Eeuw	nl	secundair		jurist/ambtenaar/advocaat	2.0/5.0/2.0	2.0	1.0	3.0
1017	F. van Lennep	0.002675227394328518	0.002541466024612092	0.00013376136971642589	1.5828885229760905e-05	0.26944842014784043	2165.9380952380434	0.00764860674051863	20.0	0.1394736842105263	0.0	https://www.dbnl.org/auteurs/auteur.php?id=lenn011	lenn011	Frans Johan Eliza	van Lennep	F. van Lennep	1890-xx-xx			1980-xx-xx			male		Twintigste Eeuw		secundair/nonfictie					2.0	0.0
1018	A.C. Vreede	0.004146602461209203	0.002675227394328518	0.0014713750668806848	2.080625850879308e-05	0.2252632535259409	1796.4972222221813	0.0010161836687892479	31.0	0.3923076923076923	0.12972383720930233	https://www.dbnl.org/auteurs/auteur.php?id=vree012	vree012	Albert Cornelis	Vreede	A.C. Vreede	1840-01-29	Gorinchem	Nederland	1908-08-20	Leiden	Nederland	male	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	19e/20e Eeuw	nl	secundair/nonfictie		docent/leraar/letterkundige/hoogleraar	2.0/2.0/2.0/2.0	2.0	2.0	0.0
1019	J. Pen	0.005216693418940609	0.004681647940074906	0.0005350454788657035	0.00030467578236823836	0.26532376660062085	2123.4714285713567	0.0062534950329474785	39.0	0.11299052774018944	0.004524886877828055	https://www.dbnl.org/auteurs/auteur.php?id=pen_002	pen_002	Jan	Pen	J. Pen/J. Velmer	1921-02-15	Lemmer	Nederland		Haren	Nederland	male		Twintigste Eeuw	nl	nonfictie					2.0	0.0
1020	Th.W. Engelmann	0.001337613697164259	0.00026752273943285177	0.001070090957731407	0.0	0.19976536260798924	1562.7376984127197	0.00010863846233459819	10.0	0.45348837209302323	0.017857142857142856	https://www.dbnl.org/auteurs/auteur.php?id=enge043	enge043	Theodor Wilhelm	Engelmann	Th.W. Engelmann	1843-11-14	Leipzig	Duitsland	1909-05-20	Berlijn	Duitsland	male	leraar/hoogleraar/zielsverzorger/docent/apotheker/ps.ther./psychol/medicus	Negentiende Eeuw		nonfictie		zielmaker/hoogleraar/leraar/medicus/apotheker/docent/psycholoog	7.0/2.0/2.0/2.0/2.0/2.0/2.0	2.0	2.0	0.0
1021	Hendrik Hooyer	0.0008025682182985553	0.0	0.0008025682182985553	0.0	0.0	0.0	3.552025893195421e-97	6.0	0.03333333333333333	0.0	https://www.dbnl.org/auteurs/auteur.php?id=hooy002	hooy002	Jan Hendrik	Hooyer	Hendrik Hooyer	1844-03-27	Zaltbommel	Nederland	1892-09-30	Arnhem	Nederland	male	herv./leraar/geref. predikant	Negentiende Eeuw	nl			leraar/gereformeerd predikant	2.0/2.0	2.0	2.0	0.0
1022	Jacobus Craandijk	0.003477795612627073	0.001070090957731407	0.002407704654895666	2.0987675549765017e-05	0.21760265567906076	1721.4543650793316	0.0005024643933980727	26.0	0.25471698113207547	0.045555167190958874	https://www.dbnl.org/auteurs/auteur.php?id=craa001	craa001	Jacobus	Craandijk	Jacobus Craandijk	1834-09-07	Amsterdam	Nederland	1912-06-03	Haarlem	Nederland	male	tekenaar/leraar/doopsgezind predikant/illustrator/beeldend kunstenaar	19e/20e Eeuw	nl	nonfictie		beeldhouwer/tekenaar/leraar/illustrateur/doopsgezind predikant	4.0/4.0/2.0/4.0/2.0	2.0	2.0	0.0
1023	Johan baron d' Aulnis de Bourouill	0.0037453183520599247	0.001070090957731407	0.002675227394328518	6.250374796554021e-06	0.20653919331732065	1624.221031746037	0.00022872774500286186	28.0	0.34864864864864864	0.05077405086619978	https://www.dbnl.org/auteurs/auteur.php?id=auln001	auln001	Johan	baron d' Aulnis de Bourouill	J.dAulnis de Bourouill/Johan baron d' Aulnis de Bourouill	1850-04-09	Groningen	Nederland	1930-09-05	Utrecht	Nederland	male	leraar/jurist/hoogleraar/docent/advocaat	19e/20e Eeuw	nl			hoogleraar/leraar/advocaat/jurist/docent	2.0/2.0/2.0/2.0/2.0	2.0	2.0	0.0
1024	R.M. van Goens	0.008962011771000535	0.008694489031567682	0.00026752273943285177	4.727770944243112e-05	0.2706293697786862	2207.3190476190152	0.01288826726134226	67.0	0.18190045248868777	0.023529411764705882	https://www.dbnl.org/auteurs/auteur.php?id=goen002	goen002	Rijklof Michael	van Goens	R.M. van Goens	1748-05-12	Utrecht	Nederland	1810-07-25	Werningerode	Duitsland	male	staatsman/bestuurder/politicus	18e/19e Eeuw	nl			bestuurder/ambtman	1.0/1.0	1.0	5.0	2.0
1025	Tijs Terwey	0.001070090957731407	0.00040128410914927763	0.0006688068485821295	4.975954466164363e-07	0.19736297441249584	1553.5079365079418	0.00015717630471725344	8.0	0.46153846153846156	0.05848787446504993	https://www.dbnl.org/auteurs/auteur.php?id=terw001	terw001	Tijs	Terwey	Tijs Terwey	1845-08-15	Zaandam	Nederland	1893-09-17	Amsterdam	Nederland	male	onderwijzer (basisschool)	Negentiende Eeuw	nl			onderwijzer op een lagere school	4.0	4.0	2.0	0.0
1026	J. van Loenen Martinet	0.010700909577314071	0.005350454788657036	0.005350454788657036	0.0004786261503029295	0.26361053879984836	2130.042857142812	0.00898179248298242	80.0	0.1651814131126671	0.03938462959968585	https://www.dbnl.org/auteurs/auteur.php?id=loen001	loen001	Johannes	van Loenen Martinet	J. van Loenen Martinet	1840-06-22	Nijmegen	Nederland	1918-11-26			male	herv./leraar/geref. predikant	Negentiende Eeuw	nl			leraar/gereformeerd predikant	2.0/2.0	2.0	2.0	0.0
1027	B. Symons	0.002407704654895666	0.002140181915462814	0.00026752273943285177	4.044365094520936e-06	0.24182689022227238	1925.426190476113	0.0024909685100470997	18.0	0.14052287581699346	0.0	https://www.dbnl.org/auteurs/auteur.php?id=symo009	symo009	B.	Symons	B. Symons	18xx-xx-xx						male		Twintigste Eeuw		nonfictie					2.0	0.0
1028	A. Bruining	0.0014713750668806848	0.001203852327447833	0.00026752273943285177	0.00011825367707674652	0.21481117962125407	1695.2067460317069	0.0004887339818119592	11.0	0.07272727272727272	0.0	https://www.dbnl.org/auteurs/auteur.php?id=brui043	brui043	Albert	Bruining	A. Bruining	1846-07-02	Pietersbierum	Nederland	1919-11-20			male		19e/20e Eeuw		nonfictie					2.0	0.0
1029	Aart Admiraal	0.0014713750668806848	0.0014713750668806848	0.0	0.0	0.24280987450342792	1943.6357142856427	0.0021008019061894314	11.0	0.16363636363636364	0.0	https://www.dbnl.org/auteurs/auteur.php?id=admi001	admi001	Aart	Admiraal	Aart Admiraal/Bato van de Maas	1833-10-13	Goedereede	Nederland	1878-11-12	Schoonhoven	Nederland	male	leraar/docent/hoogleraar	Negentiende Eeuw	nl			docent/leraar/hoogleraar	2.0/2.0/2.0	2.0	2.0	0.0
1030	C.J. Wolterbeek	0.00040128410914927763	0.00026752273943285177	0.00013376136971642589	1.3366853960024357e-07	0.16568615061759862	1281.8321428572044	3.910130380226631e-06	3.0	0.0	0.0	https://www.dbnl.org/auteurs/auteur.php?id=wolt018	wolt018	Constantijn Johan	Wolterbeek	C.J. Wolterbeek	1766-04-05	Steenderen	Nederland	1845-05-23	Den Haag	Nederland	male	zeevarende/officier/militair	18e/19e Eeuw		nonfictie		zeevarende/officier/militair	11.0/1.0/9.0	1.0	2.0	0.0
1031	Johannes de Koo	0.0018726591760299624	0.001203852327447833	0.0006688068485821295	3.052931375545703e-06	0.22578836669578384	1791.7595238094736	0.001004386465336337	14.0	0.2727272727272727	0.048292108362779744	https://www.dbnl.org/auteurs/auteur.php?id=koo_001	koo_001	Johannes	de Koo	Diederik van Amstel/Doctor Juris/Johannes de Koo	1841-09-13	Middelie	Nederland	1909-05-10	Luik	België (Wallonië)	male	herv./leraar/geref. predikant	Negentiende Eeuw	nl			leraar/gereformeerd predikant	2.0/2.0	2.0	2.0	0.0
1032	A.A.W. Hubrecht	0.007356875334403424	0.00227394328517924	0.005082932049224184	0.0007633537567307999	0.24524862906217645	1944.9714285713385	0.0029529602596831297	55.0	0.1352542372881356	0.028575253906623566	https://www.dbnl.org/auteurs/auteur.php?id=hubr005	hubr005	Ambrosius Arnold Willem	Hubrecht	A.A.W. Hubrecht	1853-xx-xx			1915-xx-xx			male	natuurwetenschapper	19e/20e Eeuw		nonfictie		natuurwetenschapper	2.0	2.0	2.0	0.0
1033	M.C. Tideman	0.002407704654895666	0.0009363295880149812	0.0014713750668806848	4.070922248276391e-06	0.20872091463093584	1642.812698412686	0.00024457839500508947	18.0	0.5067567567567568	0.058143488609316556	https://www.dbnl.org/auteurs/auteur.php?id=tide005	tide005	Maurits Cornelis	Tideman	M.C. Tideman	1921-05-29	Rotterdam	Nederland	2000-04-23	Huis ter Heide	Nederland	male		Twintigste Eeuw	nl	nonfictie					2.0	0.0
1034	J. Winkler Prins	0.002407704654895666	0.002140181915462814	0.00026752273943285177	1.2215917330513377e-07	0.2517607607446286	1996.6904761903832	0.0033626325327857647	18.0	0.26644736842105265	0.0392156862745098	https://www.dbnl.org/auteurs/auteur.php?id=wink011	wink011	Jacob	Winkler Prins	J. Winkler Prins/Kasper Brandt	1849-02-05	Tjallebert	Nederland	1904-11-25	op de Keltische Zee		male		Negentiende Eeuw	nl						5.0	2.0
1035	A.L.W. Seyffardt	0.0016051364365971105	0.001337613697164259	0.00026752273943285177	2.2925886613836895e-05	0.23445810843278556	1860.7357142856504	0.0013105243613662388	12.0	0.125	0.015873015873015872	https://www.dbnl.org/auteurs/auteur.php?id=seyf001	seyf001	A.L.W.	Seyffardt	A.L.W. Seyffardt	1840-12-14			1909-11-10			male	officier/militair	19e/20e Eeuw		nonfictie		officier/militair	1.0/9.0	1.0	2.0	0.0
1036	J.G. Frederiks	0.0049491706795077575	0.0037453183520599247	0.001203852327447833	5.796069994734587e-05	0.25666621046297194	2057.961904761812	0.004453095605668991	37.0	0.15610859728506787	0.02916160388821385	https://www.dbnl.org/auteurs/auteur.php?id=fred006	fred006	Johannes Godefridus	Frederiks	J.G. Frederiks	1828-04-24	Duinvliet bij Oostkapelle	Nederland	1896-05-05	Amsterdam	Nederland	male	onderwijzer (basisschool)/letterkundige (NIET-neerl.)/archeoloog/historicus	Negentiende Eeuw	nl	secundair/nonfictie		oudheidkundige/antropoloog/letterkundige/onderwijzer op een lagere school	2.0/2.0/2.0/4.0	2.0	2.0	0.0
1037	F.W.N. Hugenholtz	0.010834670947030497	0.010299625468164793	0.0005350454788657035	7.099798883899549e-05	0.25913014145571833	2120.8047619047315	0.009888158944763747	81.0	0.15123456790123457	0.014304291287386216	https://www.dbnl.org/auteurs/auteur.php?id=huge005	huge005	Frederik Willem Nicolaas	Hugenholtz	F.W.N. Hugenholtz	1922-xx-xx			1999-xx-xx			male		Twintigste Eeuw	nl						5.0	2.0
1038	H.G. Roodhuyzen	0.0020064205457463883	0.001070090957731407	0.0009363295880149812	4.914409740248241e-05	0.2406605225845444	1905.6547619046883	0.0016938252314757098	15.0	0.52	0.08787128712871287	https://www.dbnl.org/auteurs/auteur.php?id=rood004	rood004	H.G.	Roodhuyzen	H.G. Roodhuyzen	18xx-xx-xx						male		Negentiende Eeuw		nonfictie					2.0	0.0
1039	Charles François van Duyl	0.0017388978063135364	0.0006688068485821295	0.001070090957731407	9.793412152226123e-07	0.20467362281211346	1603.23531746033	0.0001807902262825409	13.0	0.6917808219178082	0.07465825446898001	https://www.dbnl.org/auteurs/auteur.php?id=duyl002	duyl002	Charles François	van Duyl	C.F. van Duijl/Charles François van Duyl	1847-07-05	Zierikzee	Nederland		Groningen	Nederland	male	onderwijzer (basisschool)	Negentiende Eeuw	nl			onderwijzer op een lagere school	4.0	4.0	2.0	0.0
1040	Jacob Hendrik Hora Siccama	0.00013376136971642589	0.0	0.00013376136971642589	0.0	0.0	0.0	3.552025893195421e-97	1.0	0.0	0.0	https://www.dbnl.org/auteurs/auteur.php?id=hora005	hora005	Jacob Hendrik	Hora Siccama	Jacob Hendrik Hora Siccama	1842-05-12	Utrecht	Nederland	1914-xx-xx			male		19e/20e Eeuw	nl	secundair					2.0	0.0
