Author	DOB
A.W.C. Zuidema	19de eeuw
Willem Pijper	8 september 1894
Wilhelm Martin	20 juni 1876
J.Z. Kannegieter	1892
Abraham Benjamin Cohen Stuart	17 augustus 1880
W.A.P. Smit	6 december 1903
C. de Boer	26 mei 1880
Reinier van Genderen Stort	1 mei 1886
N.J. Polak	19de eeuw
Johannes Lindeboom	26 augustus 1882
Matthijs Vermeulen	8 februari 1888
Robert van Genechten	25 oktober 1895
B.G. Escher	4 april 1885
P.L. van Eck jr.	1876
C.J. Blaauw	12 oktober 1885
D.F. Slothouwer	
R.W.J. den Tex	20ste eeuw
Herman Vos	30 maart 1889
F.J.A. Huart	16 april 1896
D.J. Sannes	19de eeuw
D. Dresden	20 januari 1886
J.B. Manger	2 november 1895
J.A.J. Barge	27 januari 1884
L.A. Alting Mees	19de eeuw
A.A.M. Stols	28 januari 1900
L.J. van Holk	16 oktober 1893
J.H. Plantenga	15 januari 1891
T.J.C. Gerritsen	17 september 1893
C.L. Heesakkers	24 mei 1935
Th.J.G. Locher	28 september 1900
Hermann Wolf	1 mei 1893
B. van Geuns	5 augustus 1805
Arnold Lysen	
Th. van Welderen Rengers	1867
Leendert van Lange	13 maart 1894
E.A.N.P. Franchimont	
E. du Perron	2 november 1899
R.A.D. Cort van der Linden	30 december 1886
Pieter Zeeman	25 mei 1865
Kasper Niehaus	29 oktober 1889
Raymond Herreman	21 augustus 1896
Maria van Royen	1892
Emmy van Lokhorst	26 augustus 1891
F.G. Scheltema	1 december 1891
Jan Toorop	20 december 1858
J.F. Kunst	1879
Fenna de Meyier	20 mei 1874
C.H. van Os	29 juni 1891
P.J. Fehmers	16 december 1854
Antoon Jacob	28 maart 1889
Antoon Gerard Roos	23 februari 1877
Ben Onie	20ste eeuw
L.G.M. Baas Becking	4 januari 1895
Boudewijn Nierstrasz	19de eeuw
J.W. van Nouhuys	28 december 1869
Amand Simoens	10 december 1884
R. Wiarda	
Lien ter Laan-van Lokhorst	3 december 1899
C.W. Lunsingh Scheurleer	1881
M.A. Muusses	27 september 1894
F.D.K. Bosch	17 juni 1887
H.A. Mulder	19 juli 1906
August Vanhoutte	24 september 1889
Jac. van Ginneken	21 april 1877
Roelof Kranenburg	8 september 1880
J.M. de Casseres	2 augustus 1902
W.E.J. Kuiper	1883
Hendrik Brugmans	13 december 1906
Godard Gosses	18 januari 1877
Hermien Manger	6 januari 1903
Willem van Maanen	22 november 1890
Jan Kalf	10 mei 1873
J.M.J. Schepper	19de eeuw
Jérôme Decroos	6 december 1890
Dirk Hudig	16 september 1872
Evert Willem Schallenberg	15 november 1893
C.M. Hamaker Sr.	19de eeuw
A.W. Grauls	17 november 1889
C. Binnerts	29 november 1901
W.J. van de Woestijne	1901
F.A. van der Hoeven	19de eeuw
I.J. Brugmans	8 november 1896
Ralph Springer	1886
F.A.J. Vermeulen	1883
A.C. Kersbergen	19de eeuw
C.J.J. Westermann	19de eeuw
Jan P.M.L. de Vries	11 februari 1890
Jacob Haantjes	1 september 1899
H.G.J. Maas Geesteranus	19de eeuw
I.H. Gosses	8 januari 1873
Jan Carel de Haan	16 januari 1884
J. Zaaijer	19de eeuw
C. Tielrooy-de Gruyter	19de eeuw
Arie Zijderveld	11 november 1875
David Jacob van Lennep	28 december 1896
Christoffel Verwey	1866
G.A. Nauta	19de eeuw
A.A. Bake	19 mei 1899
Richard Minne	30 november 1891
Han G. Hoekstra	4 september 1906
Louise van Bloemen	20ste eeuw
Jaap van Gelderen	1887
W.L. de Vreese	18 januari 1869
Anny C.A. Alberdingk Thijm	
H.N. ter Veen	1883
J.A. Pollones	1882
J. Wolterbeek Muller	19de eeuw
Gerrit Besselaar	12 juni 1874
Gabe van der Zee	23 februari 1893
Wilhelmina Smit-van de Wall	1888
P.J. Idenburg	28 januari 1898
J.C.M. Warnsinck	24 november 1882
N. Levi	19de eeuw
D. Cohen	31 december 1882
R.F. Beerling	7 april 1905
Raymond Brulez	18 oktober 1895
Jaap Kunst	12 augustus 1891
L. Kappeyne van de Coppello-Wijgers	19de eeuw
A. Feberwee	12 augustus 1879
Leo Plemp van Duiveland	22 augustus 1895
H.Th. de Booy	26 december 1898
C.W. Roldanus	16 juni 1899
J.B. Besançon	1 mei 1873
Barend ter Haar Bzn.	28 september 1831
Jacoba Eggink	1914
C. Weststrate	2 april 1899
Douwe Kalma	3 april 1896
André De Weerdt	6 december 1825
G.W.J. Drewes	28 november 1899
Dirk Wiersma	16 mei 1899
Henri Houben	20ste eeuw
L.K. Wolff	19de eeuw
B. Vechtman	20ste eeuw
Hugo de Groot	10 april 1583
Emile Verviers	1886
Gerrit Kamphuis	8 mei 1906
A.N.J. den Hollander	1906
M.R.J. Brinkgreve	1 augustus 1888
J.H. Pluvier	20ste eeuw
P.C. Molhuysen	20 augustus 1870
D.J.H. ter Horst	
A.H. Philipse	20ste eeuw
Paul Cronheim	25 oktober 1892
K.S. van Heynsbergen	20ste eeuw
Kees van Bruggen	14 november 1874
Garmt Stuiveling	21 december 1907
Pieter Jan Bouman	19 september 1902
Elisabeth du Perron-de Roos	1903
A.W. de Groot	13 januari 1892
Klaas Heeringa	22 september 1867
R.J. Kortmulder	19de eeuw
C.J. de Vogel	1905
Anton Koolhaas	16 november 1912
Homerus	ca. 800 v.Chr.
J.J. von Schmid	20ste eeuw
K.F.O. James	20ste eeuw
A. Hendriks-Kappelhoff	22 februari 1884
Ed Coenraads	13 april 1883
Tine Brinkgreve-Wicherink	31 januari 1880
Gerlach Royen	18 oktober 1880
B.M. Telders	19 maart 1903
Hermanus Arnoldus Idema	18de eeuw
B.A. van Groningen	20 mei 1894
Ar. Kwink	
P.J. van Winter	2 augustus 1895
H.A.C. Snethlage	19de eeuw
Marion Duimel	1976
J.H. Scholte	1874
J. Steur	1905
A. Jager	19de eeuw
Sofia Antoniadis	31 juli 1895
Edgar Allan Poe	19 januari 1809
J.G. van Dillen	20 september 1883
Theodorus Ligthart	12 maart 1883
Jan Daman	24 januari 1872
Gs. Finjee	1729
Erik Hörnström	20ste eeuw
M.H. Székely-Lulofs	24 juni 1899
G. van der Leeuw	18 maart 1890
Aleksej Hackel	17 september 1892
E.H. ter Kuile	1900
F.W.S. van Thienen	1901
Jan Hulsker	2 oktober 1907
H. Hettema jr.	1868
C.D.J. Brandt	2 oktober 1897
H.J. de Vleeschauwer	9 juli 1899
J.F. Haccoû	20ste eeuw
J.J. Gielen	26 september 1898
G. Knuttel Wzn	26 maart 1889
A.J. Bernet Kempers	7 oktober 1906
W.F. Prins	1905
Hajo Brugmans	5 maart 1868
Chr. Cornelissen	30 augustus 1864
Maurits Sabbe	9 februari 1873
W.J. Aalders	19 september 1870
Ph.J. Idenburg	26 november 1901
Marie van Dessel-Poot	24 februari 1895
Johannes Rahder	27 december 1898
Uys Krige	1910
J.R. van Blom	20ste eeuw
Anton van der Boom	28 januari 1895
Truus Gerhardt	22 augustus 1899
G. Knuttel jr.	8 december 1880
Jan Willem Meyer Ranneft	31 oktober 1887
Frans Buyle	18 februari 1913
F.W. Prins	1907
Hermann Goetz	19de eeuw
Eline Canter Cremers-van der Does	10 november 1896
H.N. Boon	23 augustus 1911
T. van der Zee	20ste eeuw
Hendrik Riemens	
H. van der Tuin	1903
J.J. Schrieke	1884
Maurits Uyldert	16 februari 1881
Arnoldus Noach	20ste eeuw
Dirk Bartling	1 april 1891
J.F. Niermeyer	1907
Eduard Reeser	23 maart 1908
D.F.W. van Lennep	
J.N. Bakhuizen van den Brink	25 mei 1896
Lode Zielens	13 juni 1901
F.L. Ganshof	14 maart 1895
Johan Wesseling	1909
F.S. Knipscheer	1871
C.J. van Geel	1865
P. Lascaris	20ste eeuw
A.F. Zwaardemaker	
G.G. Kloeke	10 juli 1887
J.P. Wiersma	19 januari 1894
Herman Dirk van Broekhuizen	17 juni 1872
Willem Johannes Leyds	1 mei 1859
S. Posthuma	1900
Stephan Ronart	20ste eeuw
G.S. Overdiep	13 november 1885
J.H. Boeke	15 november 1884
A.N. Molenaar	20 april 1888
C.F. Roos	15 september 1802
Johan Theunisz	7 september 1900
P.W. Kamphuisen	1897
Gerard Walschap	9 juli 1898
Edward Rombauts	18 november 1902
H. Drion	25 april 1917
C.H. de Goeje	1879
A.L. Wurfbain	20ste eeuw
J. Molemans	1938
G. Bolkestein	9 oktober 1871
A. Hollenberg	19de eeuw
F.M.P. Oosterhof	18 februari 1913
W. Arondéus	22 augustus 1894
George Lodewijk Schorer	1876
Jan Willem Berkelbach van der Sprenkel	6 januari 1897
Jan Spoelstra	1906
William Shakespeare	ca. 23 april 1564
H.J.F.W. Brugmans	5 juni 1884
K. R. Gallas	17 april 1868
Nicolaas Johannes Cornelis Marie Kappeyne van de Coppello	20ste eeuw
C.C. van de Graft	4 mei 1874
A.G.A. van Rappard	5 oktober 1799
Waldie van Eck	20 oktober 1896
K. Posthumus	1902
F.W.A. Korff	6 december 1887
M.J. Langeveld	30 oktober 1905
Willy Dols	21 maart 1911
P.J. Waardenburg	1886
C.F.A. van Dam	6 maart 1899
Miguel de Cervantes Saavedra	29 september 1547
A.C. Verbeek	20ste eeuw
Leonhard Huizinga	3 augustus 1906
N.E.M. Pareau	25 december 1906
Ferdinand Langen	29 juli 1918
S.M. Noach	1879
H. Kraemer	17 mei 1888
J. Patijn	20ste eeuw
K. Strijd	1909
D.T. Spronk	20ste eeuw
P.A.H. de Boer	14 juni 1910
C.F. Meyer	11 oktober 1825
Ida Gerhardt	11 mei 1905
Andreas Glotzbach	1902
A.H. Nijhoff	9 juni 1897
Henk Vastenouw	20ste eeuw
G.H. Blanken	25 juni 1902
Dirk Schoute	12 januari 1873
Maurice Roelants	19 december 1895
H.J.E. Endepols	15 februari 1877
J.R. Evenhuis	1918
Christina Kroes-Ligtenberg	28 augustus 1878
A.J. van Soest	1902
H.C. Rümke	16 januari 1893
Koos Schuur	4 oktober 1915
E. Cantillon	6 juni 1893
Jan Barents	8 december 1916
Theo van Baaren	13 mei 1912
W. Wiersma	20ste eeuw
J.C.H. de Pater	26 november 1887
A.J. Jansen	20ste eeuw
Th.H.J. van Huet	20ste eeuw
Karel Kuypers	1905
J. Buffin	20ste eeuw
B.A. Vermaseren	1912
Hein de Bruin	22 maart 1899
Elizabeth Barrett Browning	6 maart 1806
K. ter Laan	8 juli 1871
Horatius	8 december 65 v.Chr.
Elisabeth Cheixaou	8 juli 1907
F.K.H. Kossmann	10 maart 1893
K.H. Heeroma	13 september 1909
H.J. Pos	11 juli 1898
J.E. de Haas	1903
Marie Ramondt	22 maart 1878
H.J. van Tienhoven	1923
J.G. Delfgaauw	20ste eeuw
G. Révész	9 december 1878
O. Bottema	25 december 1901
Daan Zonderland	15 augustus 1909
F. Lulofs	11 oktober 1919
W.Ph. Coolhaas	2 mei 1899
Johanna K. Oudendijk	1906
N.E.H. van Esveld	20 juli 1915
Jan Waterink	20 oktober 1890
Guus Dijkhuizen	11 januari 1937
A.A. Verdenius	7 maart 1876
W.Gs Hellinga	20 december 1908
J.H. Brouwer	23 augustus 1900
Jorge Manrique	ca. 1439
G. le Maire	19 april 1905
H.P. van den Aardweg	19 juli 1899
Jan Hendrik Jongkees	3 december 1913
Herman Johannes Lam	3 januari 1892
Nicolaas Wilhelmus Posthumus	26 februari 1880
P. van der Wielen	1872
Joseph van Kan	20ste eeuw
H. Wagenvoort	1860
Willem van Reymerswael	15 juli 1890
G. van Iterson Jr.	1878
O. Noordenbos	5 juli 1896
G.J.H. Kuyk	20ste eeuw
Frank Onnen	1915
Leo Verdievel	23 december 1921
F. Ph. Groeneveld	20ste eeuw
G.M. van der Plank	20ste eeuw
W.J.W. Koster	1896
W. Rip	1903
A.J. Kluyver	3 juni 1888
Clara Stuyver	20ste eeuw
Jan Smit	1885
E.E. Pot	20ste eeuw
E. Horbach	20ste eeuw
J.V. Rijpperda Wierdsma	8 januari 1904
C.W. de Vries	1882
Jacobus Schuurmans Stekhoven	1792
C.F.P. Stutterheim	21 mei 1903
Th.H. Lunsingh Scheurleer	22 juli 1911
Eva E. Gerretsen	20ste eeuw
R.P. Cleveringa	2 april 1894
H. Plessner	4 september 1892
G. Milius	20ste eeuw
J.D.M. Cornelissen	27 september 1893
H. Engel	20 februari 1898
Nel Veerman	1909
J. Hoogendoorn	20ste eeuw
Hubert Lampo	1 september 1920
I.J.M. van den Berg	16 juli 1890
A.G.M. van Melsen	1912
Alfred de Musset	11 december 1810
R. van Luttervelt	16 augustus 1916
C.W. Sangster-Warnaars	
M.C. van der Werff	20ste eeuw
Jan Klein	1917
E. Smedes	1 februari 1889
W. Gerdes	20ste eeuw
Ph. Kohnstamm	17 juni 1875
M.F. Mörzer Bruyns	1913
J. Delden	16de eeuw
G.F.W. van Berckel	20ste eeuw
F. Oudschans Dentz	3 september 1876
August Henkels	1906
Abraham Schierbeek	9 augustus 1887
Karel Jonckheere	9 april 1906
A.E. Rosendahl Huber	26 januari 1902
Martin Permys	25 januari 1896
J.S. Bartstra	30 juni 1887
W. van der Wielen	20ste eeuw
W.J. Verdenius	3 april 1913
Johanna de Jongh	20 oktober 1877
J. de Kanter	20ste eeuw
K.F. Proost	1883
L. Aletrino	2 september 1890
T.P. Sevensma	22 juli 1879
H. Gerversman	17 mei 1892
J.M. Kramer	1910
L.C.T. Bigot	1 december 1867
L. van den Ham	1912
Sergei Smirnov	20ste eeuw
Johan Daisne	2 september 1912
I.A. Bunin	22 oktober 1870
Dmitrij Sergeevic Merezjkovskij	1865
J.H. Thiel	27 januari 1896
J. Keuning	1881
G.L. Muskens	21 februari 1912
G.W. Jongens	1888
H.W. van Tricht	19 november 1897
A. van Velsen	1895
Willem van Everdingen	19de eeuw
Maria Hartgerink-Koomans	20ste eeuw
A.M. van der Giezen	14 november 1899
Frouwien van der Vooren-Kuyper	1897
Herman Meyer	31 oktober 1893
E.J.E. Huffer	1888
J. Kruseman	1867
J.E. Verschaffelt	1870
H.F.W.D. Fischer	2 maart 1909
C. Visser	1876
Henk Breuker	20 maart 1918
L.M.Fr. Daniëls	24 november 1885
G.H. 's- Gravesande	18 januari 1882
P. Brommer	22 juli 1892
H.E. Enthoven	18 oktober 1903
W.L. Haardt	3 oktober 1913
W. Vloedgraven-Stuyver	1 februari 1911
R.A.V. van Haersolte	1919
Michel van der Plas	23 oktober 1927
Eduard Verkade	15 juni 1878
Jan Gonda	1905
C.G.N. de Vooys	26 mei 1873
Sjoerd Leiker	28 mei 1914
W. Lubberink	20 april 1889
L.C. Michels	23 oktober 1887
A.A. Weijnen	28 december 1909
J. Bax	20ste eeuw
J.C.J. Kleijntjens	3 maart 1876
J.M. Sterken	1920
Lou Vleugelhof	1925
Tue Gad	17 oktober 1918
S.A.M. Bottenheim	15 januari 1880
B. Faddegon	9 juli 1874
Marc Rozelaar	20ste eeuw
Alexander Sizoo	23 mei 1889
J. Peters	24 juli 1909
R.F. Scheltema de Heere	26 december 1899
A.A. van Rijnbach	3 april 1879
L.J. Rogier	26 juli 1894
C.A.O. van Nieuwenhuijze	1920
Mies Bouhuys	10 januari 1927
Willem den Boer	4 oktober 1914
J.R. Thorbecke	1881
L.W.G. Scholten	17 juni 1898
Ernst van Raalte	29 juli 1892
Marinus van der Goes van Naters	1900
Bas van Gelder	18 januari 1909
A. Bicker Caarten	28 september 1902
P.J. Enk	1 januari 1885
H. van de Waal	3 maart 1910
M. van der Plas	20ste eeuw
P. Krug	1920
Johannes van Melle	11 februari 1887
J.H.W. Verzijl	31 augustus 1888
Nicholas G. Lély	1887
Jan C. M. Leijten	14 januari 1926
J.W. Bosch	1920
J.A. Bierens de Haan	17 maart 1883
Amoene van Haersolte	23 februari 1890
H.A. Enklaar	5 april 1884
Arnold van Praag	12 september 1903
A.M. Chamalaun	1910
Henri A. Ett	4 augustus 1908
Aede van Eysinga	1560
A. Kleijn	1907
J.L.F. van Essen	14 februari 1902
J. de Graaf	14 juli 1911
Th.C. van Stockum	18 februari 1887
Léon Polak	1 oktober 1884
Carl Mennicke	5 september 1887
Henri Overhoff	15 juni 1905
M. de Vroede	31 mei 1922
J. Eggens jr.	1919
A.V.N. van Woerden	1927
Johan Tersteeg	25 maart 1873
Maarten Schneider	31 maart 1913
R. Sterringa	1909
B.L. van der Waerden	20ste eeuw
L.C. van Panhuys	1869
Fanny de Jong	1918
Paul A.G. Dibon	6 november 1915
Hans Andreus	21 februari 1926
Manuel van Loggem	8 maart 1916
Elisabeth Augustin	13 juni 1903
Jaap Romijn	29 maart 1912
Alb. de la Court	11 oktober 1893
Bert Voeten	6 juli 1918
Julien Benda	26 december 1867
Nico Verhoeven	20 augustus 1925
Sj. Groenman	1913
Wouter Nijhoff	19 november 1866
Th.M. Metz	20ste eeuw
Henriëtte Schuurbeque Boeye	27 december 1900
Hanny Michaelis	19 december 1922
Carel Swinkels	26 april 1921
C. Buddingh'	7 augustus 1918
L.Th. Lehmann	19 augustus 1920
J.E. Jonkers	10 mei 1890
J. van IJzeren	1876
Simon Vinkenoog	18 juli 1928
C.H. Telders	6 januari 1909
J. Milius	20ste eeuw
W.L.M.E. van Leeuwen	8 september 1895
T.S. Eliot	26 september 1888
Charles B. Timmer	17 februari 1907
Hans Warren	20 oktober 1921
M. Klaassen	1902
Dj. Adinegoro	4 augustus 1904
Pierre H. Dubois	2 juli 1917
Bertus van Lier	10 september 1906
F.W. Zeylmans van Emmichoven	23 november 1893
Hans Bendien	20ste eeuw
John Vandenbergh	
Truman Capote	30 september 1924
Edward Arlington Robinson	1869
Carl Sandburg	1878
Jan G. Elburg	30 november 1919
Horace Gregory	10 april 1898
Charles-Henry Ford	10 februari 1908
Kenneth Patchen	1911
Thomas McGrath	20 november 1916
Gerrit Kouwenaar	9 augustus 1923
Robert Hayden	1913
Rosey E. Pool	1905
Zack Gilbert	12 februari 1920
Annetje Reens-Neufeld	20ste eeuw
Frederick Franck	12 april 1909
Casper Höweler	1897
E.G. Marshall	18 juni 1914
Anna Blaman	31 januari 1905
Pieter G. Buckinx	6 februari 1903
Jan Spierdijk	4 oktober 1919
Jan Lincklaan Westenberg	9 juni 1800
Hendr. Ad. Warmelink	13 april 1890
Mea Verwey	2 maart 1892
Harry Brander	1914
Laurens Welagen	20ste eeuw
Barend Rijdes	5 april 1910
G.J. de Vries	28 november 1905
Maurits de Meyer	2 maart 1895
Nes Tergast	2 oktober 1896
Jan Sebastian Rabie	1920
Ernst Denny Hirsch Ballin	27 november 1898
Dola de Jong	10 oktober 1911
Dolf Verspoor	20 maart 1917
Rivai Apin	30 augustus 1927
Siti Nuraini	20ste eeuw
Taslim Ali	20ste eeuw
Muhammad Rustandi Kartakusuma	21 juli 1921
Utuy T. Sontani	1920
Asrul Sani	1927
Hetty van Waalwijk	12 januari 1924
J.C. Brandt Corstius	31 december 1908
W. Nienaber-Luitingh	1914
A.C.M. Kurpershoek-Scherft	16 februari 1921
D.G. van Vreumingen	
Hans Lodeizen	20 juli 1924
Lucebert	15 september 1924
Gerard Diels	3 januari 1897
Theo J. van der Wal	14 september 1910
Josine Reuling	29 september 1899
H.E. Greve	30 december 1878
J.C.A. Fetter	12 oktober 1885
Christine D'haen	25 oktober 1923
W.J. van der Molen	9 december 1923
Tom Eekman	20 mei 1923
G.J. van der Woude	20ste eeuw
Carlo (graaf) Sforza	25 september 1872
Giacomo Leopardi	1798
A.H. Luijdjens	1900
Enrico Nencioni	1 januari 1837
Gabriele d' Annunzio	12 maart 1863
Goffredo Bellonci	5 september 1882
G.A. Bouwman-Pot	1916
Vitaliano Brancati	24 juli 1907
Antonio Baldini	10 oktober 1889
Bruno Zevi	1918
Umberto Saba	9 maart 1883
Giulio Carlo Argan	17 mei 1909
Corrado Govoni	1884
Lionello Venturi	1885
Silvio d' Amico	3 februari 1887
Eugenio Montale	12 oktober 1896
Mario Verdone	27 juli 1917
Massimo Mila	1910
Emilio Lavagnino	22 augustus 1898
Hugo Claus	5 april 1929
Fred Polak	1907
David Scheinert	1916
H. de la Fontaine Verwey	30 december 1903
J.G. van der Ploeg	22 januari 1916
A. Kessen	25 oktober 1904
J.Th. Spaan	
Charles Baudelaire	9 april 1821
Gerben Colmjon	16 augustus 1899
Barend de Goede	1915
D.Th. Enklaar	16 juli 1894
Maria Dermoût	15 juni 1888
H.W.J. Kroes	21 augustus 1883
J.A. Rispens	5 december 1889
W.A.F. Stokhuyzen	12 juli 1901
H.I. Keus	
Marius Wilhelm Holtrop	1902
W.R. Heere	14 augustus 1892
J.P. van Praag	1912
H.C. van de Hulst	1918
A.D. de Groot	26 oktober 1914
Jan Peters	
C.A.R. Graamans	
J.J. Vriend	4 juli 1896
Charles Wentinck	20ste eeuw
W. Drees	5 juli 1886
Leo van Egeraat	14 december 1923
G.J. de Grooth	20ste eeuw
A. van Lennep	20ste eeuw
Remco Campert	28 juli 1929
J.H.J. van der Pot	1918
Maps Valk	20ste eeuw
H. Wielek	13 maart 1912
G.W. Wolthuis	1906
A.A.M. Horsting-Boerma	1883
William Faulkner	25 september 1897
Justus Meyer	31 oktober 1893
Ch.G. Matser	1 juni 1904
W.J. de Haas	15 januari 1853
H.B.G. Casimir	15 juli 1909
J.E. de Vos van Steenwijk	30 april 1889
P.O.F.M. Cremers	6 mei 1904
W.A. Braasem	23 november 1918
F.G.L. van der Meer	1904
Cola Debrot	4 mei 1902
Guillaume van der Graft	15 augustus 1920
A.L. Sötemann	11 augustus 1920
Julien Jozef Kuypers	14 augustus 1892
Hendrik Jan Reinink	31 juli 1901
K.H.R. de Josselin de Jong	9 juli 1903
Ad den Besten	11 maart 1923
Pier Westra	29 april 1895
Harry Mulisch	29 juli 1927
M.J. Francken	20ste eeuw
Ch. van Os	20ste eeuw
Charles Webster	25 juli 1886
J. Vaissier	20ste eeuw
Ernest Barker	23 september 1874
William A. Robson	14 juli 1895
Oscar R. Hobson	1886
William Wilson	1875
Thomas Hardy	1840
Dylan Thomas	27 oktober 1914
Max Schuchart	16 augustus 1920
Doris Lessing	22 oktober 1919
Reyner Banham	2 maart 1922
J. Kröner	1920
Robert Melville	20ste eeuw
Marius Flothuis	30 oktober 1914
C. Nicolaï	1918
Charles Boost	8 maart 1907
F. Bender	1903
J.H. Huizinga	17 juni 1908
H.H.J. de Leeuwe	15 januari 1916
Leo Herberghs	21 juli 1924
A.C. Niemeyer	1915
J. Petri	19de eeuw
Herman van den Bergh	30 januari 1897
Henri Wiessing	27 juni 1878
David Koning	13 oktober 1920
Adriaan van der Veen	16 december 1916
Harriët Laurey	20 december 1924
J.H. Kernkamp	15 augustus 1904
G.H.M. van Huet	10 september 1911
Alfred Kossmann	31 januari 1922
Anton Kloppers	31 januari 1919
Arthur Lehning	23 oktober 1899
P. Minderaa	3 december 1893
J.G. de Beus	18 oktober 1909
A. Graafhuis	20ste eeuw
Jan Wit	7 juli 1914
A. Alberts	23 augustus 1911
J.W. Schulte Nordholt	12 september 1920
Bernard Vlekke	1899
W.H. Somermeyer	
E.W. Hofstee	1909
W.H.C. Tenhaeff	19de eeuw
Leo Vroman	10 april 1915
L.P.J. Braat	1908
Josepha Mendels	18 juli 1902
Jan Vermeulen	11 mei 1923
B.W. Schaper	3 februari 1907
Yge Foppema	6 september 1901
Jacques den Haan	27 maart 1908
C. Vermeer	20ste eeuw
Cornelis Rijnsdorp	19 september 1894
J.J. Beljon	11 januari 1922
Christiaan Terpstra	8 april 1895
Michaël Deak	18 september 1920
J.B. Charles	25 augustus 1910
Ido Keekstra	27 november 1909
Rie Cramer	10 oktober 1887
J.H. Plokker	3 oktober 1907
Nico Rost	21 juni 1896
August Defresne	6 november 1893
Bert Schierbeek	28 juni 1918
J. Presser	24 februari 1899
Marga Minco	31 maart 1920
Nico Wijnen	1916
Jan Meulenbelt	8 maart 1921
Abel J. Herzberg	17 september 1893
E.A.A. Vermeer	20ste eeuw
P.J. Arisz	20ste eeuw
Hubert van Herreweghen	16 februari 1920
Maarten Mourik	18 februari 1923
K. Lekkerkerker	15 november 1910
Hafis	ca. 1320
C. Bittremieux	11 januari 1920
Adriaan Morriën	5 juni 1912
Liane Bruylants	6 januari 1921
J.H. Schouten	1893
Henk Romijn Meijer	9 augustus 1929
M. Vasalis	13 februari 1909
J. Valentin	24 oktober 1926
W.F. Dankbaar	13 september 1907
Magda Révész-Alexander	
Evert Werkman	1915
Rein Blijstra	29 augustus 1901
Reinder P. Meijer	2 januari 1926
Klaas Wiersma	1916
Elsa Frank	20ste eeuw
C.B. van Haeringen	16 mei 1892
Louis Saalborn	13 juni 1891
Ary den Hertog	7 oktober 1889
Ben Stroman	21 april 1902
Mary Dresselhuys	1907
Jan Willem Hofstra	13 november 1907
B. Hunningher	1903
Jan Walravens	7 augustus 1920
W.P. Pos	26 oktober 1912
Luisa Treves	15 november 1919
E. Elias	12 september 1900
Wim Vesseur	
A. Pitlo	23 september 1901
Luc Lutz	17 november 1924
G.A.M. Eickholt	20ste eeuw
Tjalie Robinson	10 januari 1911
Léon de Greiff	22 juli 1895
Elizabeth da Costa Gomez	20ste eeuw
J.J.A. Mooij	18 februari 1929
A. Teeuw	12 augustus 1921
C.L.W. Fock	27 januari 1905
Pieter S. Gerbrandy	13 april 1885
Rob Nieuwenhuys	30 juni 1908
J.D. Meerwaldt	16 maart 1888
James S. (Jim) Holmes	2 mei 1924
Dirk Volker Nijland	1914
Max Croiset	13 augustus 1912
Cees Nooteboom	31 juli 1933
M.H.J. Verjans	
Nel Noordzij	17 oktober 1923
G. Quispel	30 mei 1916
Lies Wolters	1913
Bernhard prins der Nederlanden	29 juni 1911
Fernán Silva Valdés	1887
J.A. van Praag	26 februari 1895
Pablo Neruda	12 juli 1904
Ventura García Calderón	23 februari 1886
José Gorostiza	1901
A. Methöfer	20ste eeuw
Rufino Blanco Fombona	17 juni 1874
Joaquín E. Weiss y Sánchez	1894
Menotti del Picchia	20 maart 1892
Martha de Castro	1912
W.H. van Helsdingen	4 maart 1888
A.I. Spits	20ste eeuw
E.P.M. Tervooren	
A. Jonkers	
R.A.J. van Lier	24 augustus 1914
J. van de Walle	2 maart 1912
Henk Dennert	20ste eeuw
W.J. Jansen	1918
Frans Debrabandere	18 mei 1933
E.H. Kossmann	31 januari 1922
Piet Apol	12 april 1915
Th. Govaart	25 december 1921
J.M. de Jong	23 december 1911
Franz Hellens	8 september 1881
Marcel Coole	21 augustus 1913
Bert van Aerschot	3 maart 1917
Paul Snoek	17 december 1933
Elisabeth Eybers	16 februari 1915
Willem Elsschot	7 mei 1882
J. Bruyn	1906
Reindert Jacobsen	1876
E.M. Janssen Perio	20 juni 1927
Ary Delen	10 maart 1883
Gerrit-Hugo Pronk	1935
Aleida Gerarda Schot	9 juli 1900
Willem van Elden	15 april 1899
Antonio Machado	1875
Martin Adán	1907
Manuel Bandeira	19 april 1886
Augusto Roa Bastos	13 juni 1917
Carlos Drummond de Andrade	31 oktober 1902
Cecília Meireles	7 november 1901
José-Maria de Heredia	22 november 1842
Jules Supervielle	16 januari 1884
Erik Lindegren	5 augustus 1910
Amy van Marken	21 juni 1912
Sybren Polet	19 juni 1924
Gunnar Ekelöf	1907
Artur Lundkvist	3 maart 1906
Edith Södergran	4 april 1892
August von Platen	1796
Attila József	1905
A. Kibédi Varga	1930
Sándor Weöres	22 juni 1913
David Rokeah	1916
Pham Van Ky	20ste eeuw
Makhali-Phal	21 september 1898
Pierre Brachin	1914
Waring Cuney	6 mei 1906
Leslie M. Collins	14 oktober 1914
Owen Dodson	28 november 1914
Don Maquis	20ste eeuw
Charles Causley	24 augustus 1917
S.A. Bonebakker	21 september 1923
Ed. de Jonghe	1878
Pieter Lieftinck	1902
J. Prins	1903
Egbert Krispyn	1930
A. van der Schalk	19de eeuw
Charley Toorop	24 maart 1891
J.H. Leopold	11 mei 1865
John Rädecker	5 september 1885
Evert Straat	1899
