Target	Source	Weight	Author	DOB
Louis Paul Boon	Bert Vanheste	5	Louis Paul Boon	15 maart 1912
Lucebert	Hugo Brems	34	Lucebert	15 september 1924
Huub Beurskens	Anne Duden	8	Huub Beurskens	18 februari 1950
Anne Duden	Huub Beurskens	10	Anne Duden	1 januari 1942
Else Lasker-Schüler	Huub Beurskens	5	Else Lasker-Schüler	1869
Karel van de Woestijne	Maurice Gilliams	6	Karel van de Woestijne	10 maart 1878
Huub Beurskens	Hugo Bousset	11	Huub Beurskens	18 februari 1950
James Joyce	Hugo Bousset	5	James Joyce	2 februari 1882
Peter Verhelst	Hugo Bousset	21	Peter Verhelst	28 januari 1962
Harry Mulisch	Hugo Bousset	8	Harry Mulisch	29 juli 1927
Eric de Kuyper	Hugo Bousset	6	Eric de Kuyper	2 september 1942
Multatuli	Hugo Bousset	14	Multatuli	2 maart 1820
Paul Claes	Hugo Bousset	6	Paul Claes	30 oktober 1943
Hugo Claus	Hugo Bousset	10	Hugo Claus	5 april 1929
Jan Fabre	Hugo Bousset	9	Jan Fabre	1958
Albe	Hugo Bousset	18	Albe	8 juni 1902
Patricia de Martelaere	Hugo Bousset	10	Patricia de Martelaere	16 april 1957
M. Februari	Hugo Bousset	5	M. Februari	23 februari 1963
Charlotte Mutsaers	Hugo Bousset	6	Charlotte Mutsaers	2 november 1942
J. Bernlef	Hugo Bousset	9	J. Bernlef	14 januari 1937
Dirk van Bastelaere	Hugo Bousset	8	Dirk van Bastelaere	23 oktober 1960
Leo Pleysier	Hugo Bousset	10	Leo Pleysier	28 mei 1945
Pol Hoste	Hugo Bousset	15	Pol Hoste	25 maart 1947
Koen Peeters	Hugo Bousset	12	Koen Peeters	9 maart 1959
Walter van den Broeck	Hugo Bousset	15	Walter van den Broeck	28 maart 1941
Atte Jongstra	Hugo Bousset	9	Atte Jongstra	13 augustus 1956
Ivo Michiels	Hugo Bousset	10	Ivo Michiels	8 januari 1923
Maurice Gilliams	Hugo Bousset	9	Maurice Gilliams	20 juli 1900
Anneke Brassinga	Hugo Bousset	12	Anneke Brassinga	20 augustus 1948
Stefan Hertmans	Hugo Bousset	20	Stefan Hertmans	31 maart 1951
Johannes Jörgensen	M.E. Belpaire	5	Johannes Jörgensen	6 november 1866
Albe	Paul Alberdingk Thijm	9	Albe	8 juni 1902
George Eliot	M.E. Belpaire	7	George Eliot	22 november 1819
Virginie Loveling	M.E. Belpaire	9	Virginie Loveling	17 mei 1836
E. Vliebergh	Jan Emiel Vliebergh	7	E. Vliebergh	19de eeuw
Albe	M.E. Belpaire	31	Albe	8 juni 1902
A. Dupont	Paul Alberdingk Thijm	9	A. Dupont	13 juli 1868
A. Dupont	Jaak Muyldermans	17	A. Dupont	13 juli 1868
A. Dupont	Jozef Jacobs	6	A. Dupont	13 juli 1868
Fr. Meeus	A. Dupont	9	Fr. Meeus	19de eeuw
Fr. Meeus	A. Dupont	9	Fr. Meeus	 19de eeuw
Albe	Jaak Muyldermans	6	Albe	8 juni 1902
Albe	A. Dupont	19	Albe	8 juni 1902
Guido Gezelle	A. Dupont	10	Guido Gezelle	1 mei 1830
Peter Benoit	M.E. Belpaire	20	Peter Benoit	17 augustus 1834
Constance Teichmann	M.E. Belpaire	26	Constance Teichmann	16 juni 1824
Stijn Streuvels	A. Dupont	6	Stijn Streuvels	3 oktober 1871
Albe	Jules Persyn	70	Albe	8 juni 1902
A. Dupont	Fr. Meeus	6	A. Dupont	13 juli 1868
Hugo Verriest	Frans Drijvers	6	Hugo Verriest	25 november 1840
Stijn Streuvels	August Cuppens	5	Stijn Streuvels	3 oktober 1871
Guido Gezelle	Caesar Gezelle	7	Guido Gezelle	1 mei 1830
Caesar Gezelle	A. Dupont	8	Caesar Gezelle	23 oktober 1875
G. Kalff	J. Salsmans	5	G. Kalff	30 januari 1856
Albe	Jan Emiel Vliebergh	10	Albe	8 juni 1902
A. Dupont	Frans Drijvers	8	A. Dupont	13 juli 1868
A. Dupont	Jan Emiel Vliebergh	22	A. Dupont	13 juli 1868
Multatuli	Jules Persyn	23	Multatuli	2 maart 1820
A. Dupont	O. Cornet	8	A. Dupont	13 juli 1868
O. Cornet	A. Dupont	8	O. Cornet	19de eeuw
O. Cornet	A. Dupont	8	O. Cornet	 19de eeuw
Guido Gezelle	Jan Emiel Vliebergh	5	Guido Gezelle	1 mei 1830
Bergman	A. Dupont	5	Bergman	11 september 1921
Albe	J. Salsmans	17	Albe	8 juni 1902
Johannes Jörgensen	A. Dupont	5	Johannes Jörgensen	6 november 1866
Guido Gezelle	Aloïs Walgrave	15	Guido Gezelle	1 mei 1830
A. Dupont	Caesar Gezelle	8	A. Dupont	13 juli 1868
Peter Benoit	Lodewijk Ontrop	5	Peter Benoit	17 augustus 1834
Albe	E. Vliebergh	7	Albe	8 juni 1902
Stijn Streuvels	Jules Persyn	8	Stijn Streuvels	3 oktober 1871
Max Rooses	A.W. Sanders van Loo	5	Max Rooses	10 februari 1839
Frans Erens	Jules Persyn	7	Frans Erens	23 juli 1857
Willem Kloos	Jules Persyn	5	Willem Kloos	6 mei 1859
J.A. Alberdingk Thijm	Jules Persyn	5	J.A. Alberdingk Thijm	13 augustus 1820
Floris Prims	M.E. Belpaire	5	Floris Prims	3 maart 1882
Jan Veth	A.W. Sanders van Loo	5	Jan Veth	18 mei 1864
Maurits Sabbe	Jules Persyn	11	Maurits Sabbe	9 februari 1873
George Eliot	Jules Persyn	7	George Eliot	22 november 1819
Selma Lagerlöf	Jules Persyn	6	Selma Lagerlöf	28 november 1858
Louisa Duykers	Jules Persyn	21	Louisa Duykers	13 maart 1869
Caesar Gezelle	Aloïs Walgrave	7	Caesar Gezelle	23 oktober 1875
Albe	G. van Poppel	5	Albe	8 juni 1902
Albe	Aloïs Walgrave	14	Albe	8 juni 1902
Hugo Verriest	Aloïs Walgrave	12	Hugo Verriest	25 november 1840
G. Kurth	Alfons Fierens	5	G. Kurth	1847
G. Kalff	Jules Persyn	10	G. Kalff	30 januari 1856
Hilda Ram	M.E. Belpaire	11	Hilda Ram	31 oktober 1858
Guido Gezelle	M.E. Belpaire	9	Guido Gezelle	1 mei 1830
A. Dupont	Lodewijk Dosfel	6	A. Dupont	13 juli 1868
Albe	Floris Prims	8	Albe	8 juni 1902
Albe	Frans van Cauwelaert	5	Albe	8 juni 1902
Jacob Smit	A.W. Sanders van Loo	7	Jacob Smit	1908
Martinus Nijhoff	Jules Persyn	5	Martinus Nijhoff	20 april 1894
Martinus Nijhoff	Jules Persyn	5	Martinus Nijhoff	26 december 1826
Gerard Brom	Jules Persyn	7	Gerard Brom	17 april 1882
J. Prins	Jules Persyn	5	J. Prins	1903
Hugo Verriest	Jules Persyn	8	Hugo Verriest	25 november 1840
Guido Gezelle	Jules Persyn	18	Guido Gezelle	1 mei 1830
Guido Gezelle	J. Salsmans	8	Guido Gezelle	1 mei 1830
Caesar Gezelle	Jules Persyn	9	Caesar Gezelle	23 oktober 1875
Arthur van Schendel	Jules Persyn	5	Arthur van Schendel	5 maart 1874
Constant Eeckels	Jules Persyn	5	Constant Eeckels	5 september 1879
Novalis	Jules Persyn	6	Novalis	2 mei 1772
Nico van Suchtelen	Jules Persyn	5	Nico van Suchtelen	25 oktober 1878
Albe	Jozef van Mierlo	11	Albe	8 juni 1902
Albertine Steenhoff-Smulders	Jules Persyn	12	Albertine Steenhoff-Smulders	2 november 1871
Annie Salomons	Jules Persyn	5	Annie Salomons	26 juni 1885
Maria Viola	Jules Persyn	9	Maria Viola	1 december 1871
Antonio Fogazzaro	Jules Persyn	5	Antonio Fogazzaro	25 maart 1842
Albe	Fernand Toussaint van Boelaere	10	Albe	8 juni 1902
Jacob van Lennep	Jules Persyn	6	Jacob van Lennep	24 maart 1802
Marie Koenen	Jules Persyn	16	Marie Koenen	19 januari 1879
Carel Scharten	Jules Persyn	5	Carel Scharten	14 maart 1878
Lode Baekelmans	Jules Persyn	5	Lode Baekelmans	26 januari 1879
Jozef Simons	Jules Persyn	5	Jozef Simons	21 mei 1888
J. Salsmans	Jules Persyn	12	J. Salsmans	2 september 1873
J. Salsmans	E. Vliebergh	5	J. Salsmans	2 september 1873
D.C. Tinbergen	Jules Persyn	6	D.C. Tinbergen	8 mei 1874
Johannes Jörgensen	Felix Rutten	6	Johannes Jörgensen	6 november 1866
Pol de Mont	Jules Persyn	11	Pol de Mont	15 april 1857
Felix Rutten	Jules Persyn	5	Felix Rutten	13 juli 1882
E. Vliebergh	Jules Persyn	11	E. Vliebergh	19de eeuw
Herman Teirlinck	Jules Persyn	6	Herman Teirlinck	24 februari 1879
Jozef Muls	Jules Persyn	6	Jozef Muls	12 juli 1882
Joris Eeckhout	Jules Persyn	7	Joris Eeckhout	29 juli 1887
Ernest Claes	Jules Persyn	8	Ernest Claes	24 oktober 1885
Karel van den Oever	Jules Persyn	6	Karel van den Oever	19 november 1879
Jan Hammenecker	Jules Persyn	5	Jan Hammenecker	2 oktober 1878
Albe	Joris Eeckhout	6	Albe	8 juni 1902
Karel van de Woestijne	Joris Eeckhout	8	Karel van de Woestijne	10 maart 1878
Albe	Louisa Duykers	45	Albe	8 juni 1902
Cyriel Verschaeve	M.E. Belpaire	7	Cyriel Verschaeve	30 april 1874
Cyriel Verschaeve	Jules Persyn	6	Cyriel Verschaeve	30 april 1874
Stijn Streuvels	Joris Eeckhout	5	Stijn Streuvels	3 oktober 1871
Frederik van Eeden	Jules Persyn	5	Frederik van Eeden	3 april 1860
Frans Coenen	Jules Persyn	5	Frans Coenen	24 april 1866
Stijn Streuvels	M.E. Belpaire	6	Stijn Streuvels	3 oktober 1871
J.W. Muller	Jozef van Mierlo	8	J.W. Muller	14 juni 1858
Marie Schmitz	Jules Persyn	6	Marie Schmitz	30 november 1883
Just Havelaar	Jules Persyn	6	Just Havelaar	12 februari 1880
Dirk Coster	Jules Persyn	10	Dirk Coster	7 juli 1887
Felix Timmermans	Jules Persyn	7	Felix Timmermans	5 juli 1886
Ernest Claes	August van Cauwelaert	5	Ernest Claes	24 oktober 1885
Wies Moens	Jules Persyn	6	Wies Moens	28 januari 1898
Wies Moens	August van Cauwelaert	7	Wies Moens	28 januari 1898
Gustaaf Segers	C.G.N. de Vooys	20	Gustaaf Segers	29 december 1848
M.E. Belpaire	Jules Persyn	8	M.E. Belpaire	31 januari 1853
Hugo Verriest	M.E. Belpaire	9	Hugo Verriest	25 november 1840
Albe	Jozef Muls	7	Albe	8 juni 1902
Jozef Muls	Gerard Walschap	7	Jozef Muls	12 juli 1882
Dirk Coster	Gerard Walschap	8	Dirk Coster	7 juli 1887
Willem Kloos	Gerard Walschap	9	Willem Kloos	6 mei 1859
Achilles Mussche	Gerard Walschap	11	Achilles Mussche	12 augustus 1896
Lambrecht Lambrechts	Gerard Walschap	5	Lambrecht Lambrechts	24 september 1865
Felix Timmermans	Gerard Walschap	15	Felix Timmermans	5 juli 1886
Pol de Mont	Gerard Walschap	5	Pol de Mont	15 april 1857
Cyriel Buysse	Gerard Walschap	6	Cyriel Buysse	20 september 1859
Wies Moens	Gerard Walschap	12	Wies Moens	28 januari 1898
Marnix Gijsen	Gerard Walschap	62	Marnix Gijsen	20 oktober 1899
Albe	Gerard Walschap	54	Albe	8 juni 1902
Lode Baekelmans	Gerard Walschap	7	Lode Baekelmans	26 januari 1879
Ernest Claes	Gerard Walschap	15	Ernest Claes	24 oktober 1885
Bernard Shaw	Gerard Walschap	5	Bernard Shaw	26 juli 1856
Jan Engelman	Gerard Walschap	6	Jan Engelman	7 juni 1900
Willem Kloos	Gerard Brom	5	Willem Kloos	6 mei 1859
Herman Teirlinck	Gerard Walschap	20	Herman Teirlinck	24 februari 1879
Louisa Duykers	Gerard Walschap	8	Louisa Duykers	13 maart 1869
Dirk Coster	August van Cauwelaert	6	Dirk Coster	7 juli 1887
Guido Gezelle	August van Cauwelaert	7	Guido Gezelle	1 mei 1830
Albe	August van Cauwelaert	24	Albe	8 juni 1902
P. Geyl	Gerard Walschap	5	P. Geyl	15 december 1887
Guido Gezelle	Gerard Walschap	14	Guido Gezelle	1 mei 1830
Stijn Streuvels	Gerard Walschap	11	Stijn Streuvels	3 oktober 1871
Cyriel Verschaeve	Gerard Walschap	12	Cyriel Verschaeve	30 april 1874
Hilarion Thans	Gerard Walschap	5	Hilarion Thans	12 januari 1884
Joris Eeckhout	Gerard Walschap	7	Joris Eeckhout	29 juli 1887
Hélène Swarth	Gerard Walschap	5	Hélène Swarth	25 oktober 1859
Dirk Vansina	Gerard Walschap	6	Dirk Vansina	25 mei 1894
Multatuli	Gerard Walschap	5	Multatuli	2 maart 1820
Guido Gezelle	J.A. Hallez	6	Guido Gezelle	1 mei 1830
Albe	J.A. Hallez	15	Albe	8 juni 1902
Jan Hammenecker	Gerard Walschap	6	Jan Hammenecker	2 oktober 1878
August Vermeylen	Gerard Walschap	11	August Vermeylen	12 mei 1872
Louisa Duykers	J.A. Hallez	17	Louisa Duykers	13 maart 1869
Frederik van Eeden	Jac. Weil	10	Frederik van Eeden	3 april 1860
Marnix Gijsen	August van Cauwelaert	19	Marnix Gijsen	20 oktober 1899
Jozef Muls	August van Cauwelaert	6	Jozef Muls	12 juli 1882
Nico van Suchtelen	August van Cauwelaert	5	Nico van Suchtelen	25 oktober 1878
Stijn Streuvels	August van Cauwelaert	6	Stijn Streuvels	3 oktober 1871
Joris Eeckhout	August van Cauwelaert	8	Joris Eeckhout	29 juli 1887
Karel van de Woestijne	August van Cauwelaert	7	Karel van de Woestijne	10 maart 1878
Karel van de Woestijne	Gerard Walschap	10	Karel van de Woestijne	10 maart 1878
Jean Cocteau	Gerard Walschap	5	Jean Cocteau	5 juli 1889
Hugo Verriest	Gerard Walschap	6	Hugo Verriest	25 november 1840
Maurice Roelants	August van Cauwelaert	5	Maurice Roelants	19 december 1895
Louisa Duykers	August van Cauwelaert	33	Louisa Duykers	13 maart 1869
Paul Claudel	Gerard Walschap	8	Paul Claudel	6 augustus 1868
Gerard Walschap	August van Cauwelaert	10	Gerard Walschap	9 juli 1898
Maurits Sabbe	Louisa Duykers	5	Maurits Sabbe	9 februari 1873
Multatuli	Louisa Duykers	7	Multatuli	2 maart 1820
M.E. Belpaire	August van Cauwelaert	6	M.E. Belpaire	31 januari 1853
Sigrid Undset	August van Cauwelaert	6	Sigrid Undset	20 mei 1882
Sigrid Undset	L. de Smet	6	Sigrid Undset	20 mei 1882
Sigrid Undset	Louisa Duykers	11	Sigrid Undset	20 mei 1882
Felix Timmermans	Louisa Duykers	6	Felix Timmermans	5 juli 1886
Marnix Gijsen	Louisa Duykers	12	Marnix Gijsen	20 oktober 1899
Marie Schmitz	Louisa Duykers	5	Marie Schmitz	30 november 1883
Guido Gezelle	Louisa Duykers	7	Guido Gezelle	1 mei 1830
Karel van de Woestijne	Fernand Toussaint van Boelaere	5	Karel van de Woestijne	10 maart 1878
Albe	Maurice Roelants	6	Albe	8 juni 1902
Jozef Simons	August van Cauwelaert	7	Jozef Simons	21 mei 1888
Maurice Roelants	Gerard Walschap	20	Maurice Roelants	19 december 1895
J.A. Goris	Jules Persyn	6	J.A. Goris	1899
Jozef Simons	Louisa Duykers	5	Jozef Simons	21 mei 1888
Hilarion Thans	Louisa Duykers	6	Hilarion Thans	12 januari 1884
Jozef Muls	Louisa Duykers	5	Jozef Muls	12 juli 1882
Ernest Claes	Louisa Duykers	11	Ernest Claes	24 oktober 1885
Gerard Walschap	Jules Persyn	8	Gerard Walschap	9 juli 1898
Gerard Walschap	Louisa Duykers	8	Gerard Walschap	9 juli 1898
Paul Claudel	Louisa Duykers	7	Paul Claudel	6 augustus 1868
Ruth Schaumann	August van Cauwelaert	11	Ruth Schaumann	1899
Ruth Schaumann	Louisa Duykers	8	Ruth Schaumann	1899
Albe	L. de Smet	8	Albe	8 juni 1902
Gerard Brom	Louisa Duykers	5	Gerard Brom	17 april 1882
Floris Prims	Louisa Duykers	11	Floris Prims	3 maart 1882
Selma Lagerlöf	Louisa Duykers	5	Selma Lagerlöf	28 november 1858
Selma Lagerlöf	August van Cauwelaert	6	Selma Lagerlöf	28 november 1858
Dirk Coster	Pertinax	7	Dirk Coster	7 juli 1887
Gerard Walschap	Marnix Gijsen	37	Gerard Walschap	9 juli 1898
Willem Kloos	Pertinax	13	Willem Kloos	6 mei 1859
J.C. Bloem	Pertinax	6	J.C. Bloem	10 mei 1887
Antoon Coolen	August van Cauwelaert	5	Antoon Coolen	17 april 1897
Antoon Coolen	Louisa Duykers	6	Antoon Coolen	17 april 1897
Marie Koenen	Louisa Duykers	7	Marie Koenen	19 januari 1879
Albert Helman	Pertinax	7	Albert Helman	7 november 1903
Antoon Coolen	Pertinax	7	Antoon Coolen	17 april 1897
Albert Kuyle	Pertinax	5	Albert Kuyle	17 februari 1904
Anton van Duinkerken	Pertinax	10	Anton van Duinkerken	2 januari 1903
Albe	Pertinax	16	Albe	8 juni 1902
Anton van Duinkerken	August van Cauwelaert	7	Anton van Duinkerken	2 januari 1903
Albe	Raphaël M.J. Kreemers	19	Albe	8 juni 1902
Karel van de Woestijne	Pertinax	5	Karel van de Woestijne	10 maart 1878
Jan Engelman	Pertinax	17	Jan Engelman	7 juni 1900
Theun de Vries	Pertinax	6	Theun de Vries	26 april 1907
Raymond Brulez	Marnix Gijsen	22	Raymond Brulez	18 oktober 1895
D.C. Tinbergen	Louisa Duykers	6	D.C. Tinbergen	8 mei 1874
Gerard Walschap	André Demedts	8	Gerard Walschap	9 juli 1898
Menno ter Braak	Pertinax	9	Menno ter Braak	26 januari 1902
A. Roland Holst	Pertinax	6	A. Roland Holst	23 mei 1888
Felix Timmermans	Pertinax	6	Felix Timmermans	5 juli 1886
J.A. Goris	Louisa Duykers	8	J.A. Goris	1899
Ilja Ehrenburg	Gerard Walschap	5	Ilja Ehrenburg	27 januari 1891
Jan Greshoff	Pertinax	6	Jan Greshoff	15 december 1888
Thomas Mann	Gerard Walschap	7	Thomas Mann	6 juni 1875
Jean Cocteau	Raymond Brulez	5	Jean Cocteau	5 juli 1889
Cyriel Buysse	Herman Teirlinck	5	Cyriel Buysse	20 september 1859
Karel van de Woestijne	Herman Teirlinck	13	Karel van de Woestijne	10 maart 1878
C.G.N. de Vooys	Louisa Duykers	7	C.G.N. de Vooys	26 mei 1873
Henk Kuitenbrouwer	Anton van Duinkerken	17	Henk Kuitenbrouwer	20 november 1903
Albe	Julien Jozef Kuypers	12	Albe	8 juni 1902
Marnix Gijsen	Maurice Roelants	21	Marnix Gijsen	20 oktober 1899
Marnix Gijsen	Julien Jozef Kuypers	11	Marnix Gijsen	20 oktober 1899
Anton van Duinkerken	Raphaël M.J. Kreemers	7	Anton van Duinkerken	2 januari 1903
Frans Erens	Pertinax	7	Frans Erens	23 juli 1857
Stijn Streuvels	Louisa Duykers	8	Stijn Streuvels	3 oktober 1871
Albe	Edward Rombauts	5	Albe	8 juni 1902
Multatuli	Raymond Brulez	6	Multatuli	2 maart 1820
Paul Claudel	Raymond Brulez	5	Paul Claudel	6 augustus 1868
Max Lamberty	Raymond Brulez	5	Max Lamberty	31 december 1893
Thomas Mann	Raymond Brulez	5	Thomas Mann	6 juni 1875
Karel van de Woestijne	Raymond Brulez	7	Karel van de Woestijne	10 maart 1878
Albe	Albert Westerlinck	36	Albe	8 juni 1902
D.H. Lawrence	Raphaël M.J. Kreemers	7	D.H. Lawrence	11 september 1885
Albe	Fernand Deschamps	5	Albe	8 juni 1902
Fernand Deschamps	Louisa Duykers	10	Fernand Deschamps	13 juli 1868
Urbain van de Voorde	Paul Claudel	7	Urbain van de Voorde	27 oktober 1893
Paul Claudel	Urbain van de Voorde	9	Paul Claudel	6 augustus 1868
André Demedts	Gerard Walschap	7	André Demedts	8 augustus 1906
Bert Decorte	Gerard Walschap	20	Bert Decorte	2 juli 1915
A.J.D. van Oosten	Pieter G. Buckinx	6	A.J.D. van Oosten	12 november 1898
Albe	Paul de Vree	7	Albe	8 juni 1902
Gerard Walschap	Raymond Brulez	46	Gerard Walschap	9 juli 1898
Karel van de Woestijne	Pieter G. Buckinx	5	Karel van de Woestijne	10 maart 1878
G. Kalff	P.J.H. Vermeeren	5	G. Kalff	30 januari 1856
Marcel Lobet	P.J.H. Vermeeren	7	Marcel Lobet	28 juni 1907
Anton van Duinkerken	J.J. Gielen	5	Anton van Duinkerken	2 januari 1903
Albe	J.J. Gielen	8	Albe	8 juni 1902
Louisa Duykers	M.E. Belpaire	13	Louisa Duykers	13 maart 1869
Marcel Coole	Pieter G. Buckinx	5	Marcel Coole	21 augustus 1913
André Demedts	P.J.H. Vermeeren	5	André Demedts	8 augustus 1906
Jules Persyn	M.E. Belpaire	6	Jules Persyn	20 april 1878
Marnix Gijsen	Albert Westerlinck	5	Marnix Gijsen	20 oktober 1899
Raymond Herreman	Gerard Walschap	21	Raymond Herreman	21 augustus 1896
Juul Filliaert	M.E. Belpaire	5	Juul Filliaert	14 februari 1890
August van Cauwelaert	M.E. Belpaire	6	August van Cauwelaert	31 december 1885
Felix Timmermans	André Demedts	5	Felix Timmermans	5 juli 1886
Johan Daisne	André Demedts	5	Johan Daisne	2 september 1912
Guido Gezelle	André Demedts	7	Guido Gezelle	1 mei 1830
Pieter G. Buckinx	André Demedts	8	Pieter G. Buckinx	6 februari 1903
Antoon Coolen	André Demedts	5	Antoon Coolen	17 april 1897
I.K. Illakowicz	Marcel Coole	6	I.K. Illakowicz	6 augustus 1892
Marcel Coole	I.K. Illakowicz	6	Marcel Coole	21 augustus 1913
Pieter G. Buckinx	Albert Westerlinck	5	Pieter G. Buckinx	6 februari 1903
André Demedts	Albert Westerlinck	21	André Demedts	8 augustus 1906
Albe	Anton van Wilderode	5	Albe	8 juni 1902
Paul Valéry	Gerard Walschap	10	Paul Valéry	 1871
Paul Valéry	Gerard Walschap	10	Paul Valéry	1871
August Vermeylen	Albert Westerlinck	6	August Vermeylen	12 mei 1872
Multatuli	Pierre H. Dubois	6	Multatuli	2 maart 1820
Jan Campert	Pierre H. Dubois	5	Jan Campert	15 augustus 1902
Albert Westerlinck	Lode Roose	10	Albert Westerlinck	17 februari 1914
Albert Westerlinck	André Demedts	15	Albert Westerlinck	17 februari 1914
Albe	Lode Roose	13	Albe	8 juni 1902
Guido Gezelle	Albert Westerlinck	9	Guido Gezelle	1 mei 1830
Gerard Walschap	Maurice Roelants	23	Gerard Walschap	9 juli 1898
Albert Westerlinck	Gerard Walschap	11	Albert Westerlinck	17 februari 1914
Hubert Lampo	André Demedts	5	Hubert Lampo	1 september 1920
Gabriela Mistral	Karel Jonckheere	5	Gabriela Mistral	7 april 1889
Gerard Walschap	Albert Westerlinck	7	Gerard Walschap	9 juli 1898
Multatuli	André Demedts	5	Multatuli	2 maart 1820
Multatuli	Albert Westerlinck	6	Multatuli	2 maart 1820
Multatuli	Maurice Roelants	5	Multatuli	2 maart 1820
Stijn Streuvels	André Demedts	7	Stijn Streuvels	3 oktober 1871
Felix Timmermans	Albert Westerlinck	5	Felix Timmermans	5 juli 1886
Johan Daisne	Albert Westerlinck	5	Johan Daisne	2 september 1912
August van Cauwelaert	Gerard Walschap	11	August van Cauwelaert	31 december 1885
Albert van Hoogenbemt	Gerard Walschap	10	Albert van Hoogenbemt	1 maart 1900
Guido Gezelle	R.F. Lissens	5	Guido Gezelle	1 mei 1830
Albe	R.F. Lissens	11	Albe	8 juni 1902
Albe	J.A. van Houtte	12	Albe	8 juni 1902
André Demedts	Joos Florquin	7	André Demedts	8 augustus 1906
Maurice Gilliams	Albert Westerlinck	5	Maurice Gilliams	20 juli 1900
Ernest Claes	André Demedts	6	Ernest Claes	24 oktober 1885
Karel Jonckheere	André Demedts	5	Karel Jonckheere	9 april 1906
Pol de Mont	R.F. Lissens	7	Pol de Mont	15 april 1857
Omer Wattez	C.G.N. de Vooys	8	Omer Wattez	9 februari 1857
Jacob van Lennep	C.G.N. de Vooys	23	Jacob van Lennep	24 maart 1802
Hugo Verriest	C.G.N. de Vooys	40	Hugo Verriest	25 november 1840
Pol de Mont	C.G.N. de Vooys	32	Pol de Mont	15 april 1857
Albrecht Rodenbach	C.G.N. de Vooys	16	Albrecht Rodenbach	27 oktober 1856
Max Rooses	C.G.N. de Vooys	7	Max Rooses	10 februari 1839
Karel van de Woestijne	C.G.N. de Vooys	77	Karel van de Woestijne	10 maart 1878
Prosper van Langendonck	C.G.N. de Vooys	12	Prosper van Langendonck	15 maart 1862
Jan van Beers	C.G.N. de Vooys	13	Jan van Beers	22 februari 1821
J.B. Schepers	C.G.N. de Vooys	52	J.B. Schepers	15 augustus 1865
H. Kern	C.G.N. de Vooys	42	H. Kern	6 april 1833
Paul Fredericq	C.G.N. de Vooys	6	Paul Fredericq	12 augustus 1850
H. Mulder	C.G.N. de Vooys	5	H. Mulder	20ste eeuw
André Demedts	Jozef van Mierlo	5	André Demedts	8 augustus 1906
August Vermeylen	Max Lamberty	5	August Vermeylen	12 mei 1872
J.C. Bloem	C. Bittremieux	6	J.C. Bloem	10 mei 1887
Albe	Pierre H. Dubois	6	Albe	8 juni 1902
Guido Gezelle	Christine D'haen	8	Guido Gezelle	1 mei 1830
Raymond Herreman	Maurice Roelants	11	Raymond Herreman	21 augustus 1896
P. Minderaa	Anton van Duinkerken	6	P. Minderaa	3 december 1893
Herman Teirlinck	Anton van Duinkerken	5	Herman Teirlinck	24 februari 1879
W.J.C. Buitendijk	Lode Roose	13	W.J.C. Buitendijk	11 april 1906
A. van Elslander	Lode Roose	8	A. van Elslander	10 september 1921
Guido Gezelle	Emiel Jan Janssen	17	Guido Gezelle	1 mei 1830
Gerard Wijdeveld	Tirso de Molina	12	Gerard Wijdeveld	1905
Frederik van Eeden	Emiel Jan Janssen	9	Frederik van Eeden	3 april 1860
André Demedts	Hubert van Herreweghen	5	André Demedts	8 augustus 1906
André Demedts	Lode Roose	6	André Demedts	8 augustus 1906
Herman Gorter	Martien J.G. de Jong	5	Herman Gorter	26 november 1864
Joos Florquin	André Demedts	6	Joos Florquin	24 maart 1916
Herwig Hensen	André Demedts	5	Herwig Hensen	22 januari 1917
J.A. Worp	Lode Roose	5	J.A. Worp	21 januari 1851
Jef Geeraerts	Fernand Auwera	7	Jef Geeraerts	23 februari 1930
Harry Mulisch	Fernand Auwera	5	Harry Mulisch	29 juli 1927
Willem M. Roggeman	Hugo Brems	23	Willem M. Roggeman	9 juli 1935
Martien J.G. de Jong	Hugo Brems	14	Martien J.G. de Jong	20 mei 1929
W. Ruys	Hugo Brems	5	W. Ruys	1 april 1809
Leo Ross	Hugo Brems	8	Leo Ross	15 juli 1934
Patricia Lasoen	Hugo Brems	16	Patricia Lasoen	25 september 1948
Harry Mulisch	Hugo Brems	9	Harry Mulisch	29 juli 1927
Marko Fondse	Hugo Brems	5	Marko Fondse	9 juni 1932
Eddy van Vliet	Hugo Brems	23	Eddy van Vliet	11 september 1942
Daniël van Ryssel	Hugo Brems	6	Daniël van Ryssel	3 maart 1940
Herman de Coninck	Hugo Brems	25	Herman de Coninck	21 februari 1944
Jacques Kruithof	Hugo Brems	7	Jacques Kruithof	29 augustus 1947
Stefaan van den Bremt	Hugo Brems	13	Stefaan van den Bremt	12 oktober 1941
Huub Oosterhuis	Hugo Brems	5	Huub Oosterhuis	1 november 1933
Theun de Vries	Hugo Brems	6	Theun de Vries	26 april 1907
Jan van der Vegt	Hugo Brems	11	Jan van der Vegt	4 oktober 1935
Gerd Segers	Hugo Brems	5	Gerd Segers	1938
Ludo Abicht	Hugo Brems	7	Ludo Abicht	5 juni 1936
Sybren Polet	Hugo Brems	12	Sybren Polet	19 juni 1924
Harry Scholten	Hugo Brems	6	Harry Scholten	1936
Albe	Hugo Brems	39	Albe	8 juni 1902
A. Roland Holst	Hugo Brems	18	A. Roland Holst	23 mei 1888
